Cycle start time,Cycle end time,Cycle timezone,Sleep onset,Wake onset,Sleep performance %,Respiratory rate (rpm),Asleep duration (min),In bed duration (min),Light sleep duration (min),Deep (SWS) duration (min),REM duration (min),Awake duration (min),Sleep need (min),Sleep debt (min),Sleep efficiency %,Sleep consistency %,Nap
2024-11-12 00:24:55,,UTC-08:00,2024-11-12 00:24:55,2024-11-12 07:00:30,65,17.7,359,395,197,53,109,36,553,66,90,72,false
2024-11-11 00:00:50,2024-11-12 00:24:55,UTC-08:00,2024-11-11 00:00:50,2024-11-11 09:21:46,82,17.9,482,558,222,105,155,76,586,107,86,62,false
2024-11-10 01:15:28,2024-11-11 00:00:50,UTC-08:00,2024-11-10 01:15:28,2024-11-10 11:13:53,71,18.4,404,598,142,121,141,194,571,67,67,59,false
2024-11-09 02:06:54,2024-11-10 01:15:28,UTC-08:00,2024-11-09 02:06:54,2024-11-09 10:30:42,80,17.7,423,503,179,103,141,80,528,28,84,46,false
2024-11-07 23:17:10,2024-11-09 02:06:54,UTC-08:00,2024-11-07 23:17:10,2024-11-08 08:38:06,92,17.9,492,558,247,86,159,66,536,127,88,57,false
2024-11-07 00:26:43,2024-11-07 23:17:10,UTC-08:00,2024-11-07 13:34:31,2024-11-07 14:58:38,13,17.6,79,84,32,22,25,5,607,127,98,,true
2024-11-07 00:26:43,2024-11-07 23:17:10,UTC-08:00,2024-11-07 00:26:43,2024-11-07 06:29:37,53,17.8,320,362,106,91,123,42,599,104,88,78,false
2024-11-06 00:17:26,2024-11-07 00:26:43,UTC-08:00,2024-11-06 00:17:26,2024-11-06 08:57:31,73,18.2,447,518,181,97,169,71,610,127,86,70,false
2024-11-05 00:43:06,2024-11-06 00:17:26,UTC-08:00,2024-11-05 00:43:06,2024-11-05 05:59:52,44,18.9,280,316,124,53,103,36,643,120,89,66,false
2024-11-04 00:32:26,2024-11-05 00:43:06,UTC-08:00,2024-11-04 00:32:26,2024-11-04 08:40:35,69,18.0,423,488,142,99,182,65,611,127,86,59,false
2024-11-03 00:11:30,2024-11-04 00:32:26,UTC-08:00,2024-11-03 00:11:30,2024-11-03 08:08:19,65,18.0,410,473,190,89,131,63,629,127,86,51,false
2024-11-01 01:05:28,2024-11-02 00:07:59,UTC-07:00,2024-11-01 16:29:24,2024-11-01 17:30:32,8,18.6,48,59,40,8,0,11,607,127,81,,true
2024-11-01 01:05:28,2024-11-02 00:07:59,UTC-07:00,2024-11-01 01:05:28,2024-11-01 08:18:33,58,17.9,354,433,158,97,99,79,614,120,81,73,false
2024-10-31 00:07:59,2024-11-01 01:05:28,UTC-07:00,2024-10-31 00:07:59,2024-10-31 07:21:01,60,17.7,360,425,132,117,111,65,600,107,84,72,false
2024-10-30 00:36:33,2024-10-31 00:07:59,UTC-07:00,2024-10-30 00:36:33,2024-10-30 08:30:58,69,17.6,369,474,158,92,119,105,536,127,77,57,false
2024-10-28 23:33:27,2024-10-30 00:36:33,UTC-07:00,2024-10-29 15:35:07,2024-10-29 17:18:28,15,18.1,88,101,19,23,46,13,609,127,90,,true
