Cycle start time,Cycle end time,Cycle timezone,Workout start time,Workout end time,Duration (min),Activity name,Activity Strain,Energy burned (cal),Max HR (bpm),Average HR (bpm),HR Zone 1 %,HR Zone 2 %,HR Zone 3 %,HR Zone 4 %,HR Zone 5 %,GPS enabled,Distance (meters),Altitude gain (meters),Altitude change (meters)
2024-11-11 00:00:50,2024-11-12 00:24:55,UTC-08:00,2024-11-11 17:43:30,2024-11-11 18:35:59,52,Weightlifting,6.8,231.0,154,111,41,51,7,0,0,false,,,
2024-11-09 02:06:54,2024-11-10 01:15:28,UTC-08:00,2024-11-09 16:51:00,2024-11-09 18:17:59,86,Rock Climbing,9.7,482.0,154,116,21,57,20,0,0,false,,,
2024-11-07 23:17:10,2024-11-09 02:06:54,UTC-08:00,2024-11-08 21:12:00,2024-11-08 22:02:59,50,Rock Climbing,10.9,455.0,165,134,2,23,65,10,0,false,,,
2024-11-06 00:17:26,2024-11-07 00:26:43,UTC-08:00,2024-11-06 18:48:00,2024-11-06 20:05:59,77,Rock Climbing,9.6,444.0,156,117,26,51,22,0,0,false,,,
2024-11-05 00:43:06,2024-11-06 00:17:26,UTC-08:00,2024-11-05 12:30:00,2024-11-05 12:55:29,25,Weightlifting,5.9,148.0,151,118,20,68,12,0,0,false,,,
2024-11-04 00:32:26,2024-11-05 00:43:06,UTC-08:00,2024-11-04 20:18:00,2024-11-04 22:37:29,139,Activity,13.9,1043.0,160,126,2,59,37,2,0,false,,,
2024-11-02 00:07:59,2024-11-03 01:11:30,UTC-07:00,2024-11-02 16:58:30,2024-11-02 18:38:59,100,Rock Climbing,12.6,740.0,159,125,9,43,46,2,0,false,,,
2024-10-30 00:36:33,2024-10-31 00:07:59,UTC-07:00,2024-10-30 17:36:00,2024-10-30 18:01:29,25,Rock Climbing,5.4,112.0,146,110,48,35,13,0,0,false,,,
2024-10-30 00:36:33,2024-10-31 00:07:59,UTC-07:00,2024-10-30 16:46:30,2024-10-30 17:23:59,37,Rock Climbing,5.6,133.0,151,103,47,27,8,0,0,false,,,
2024-10-28 23:33:27,2024-10-30 00:36:33,UTC-07:00,2024-10-29 18:34:30,2024-10-29 19:43:29,68,Rock Climbing,8.6,371.0,153,114,27,49,20,0,0,false,,,
2024-10-28 01:07:46,2024-10-28 23:33:27,UTC-07:00,2024-10-28 15:03:00,2024-10-28 15:38:59,35,Weightlifting,6.0,169.0,143,111,41,53,6,0,0,false,,,
2024-10-27 02:12:48,2024-10-28 01:07:46,UTC-07:00,2024-10-27 16:37:30,2024-10-27 17:38:59,61,Weightlifting,7.2,277.0,147,110,45,53,2,0,0,false,,,
2024-10-26 02:31:38,2024-10-27 02:12:48,UTC-07:00,2024-10-26 17:30:00,2024-10-26 18:28:29,58,Rock Climbing,8.5,347.0,152,117,22,56,22,0,0,false,,,
2024-10-25 00:41:02,2024-10-26 02:31:38,UTC-07:00,2024-10-25 11:54:00,2024-10-25 12:52:29,58,Weightlifting,7.8,307.0,147,114,34,54,12,0,0,false,,,
2024-10-23 21:09:41,2024-10-25 00:41:02,UTC-07:00,2024-10-24 18:51:00,2024-10-24 19:32:59,41,Rock Climbing,6.4,201.0,147,111,35,59,5,0,0,false,,,
2024-10-23 00:27:36,2024-10-23 21:09:41,UTC-07:00,2024-10-23 15:25:30,2024-10-23 17:04:29,98,Rock Climbing,12.1,704.0,156,123,7,59,33,1,0,false,,,
2024-10-20 00:24:44,2024-10-21 01:03:36,UTC-07:00,2024-10-20 15:13:30,2024-10-20 17:10:29,116,Rock Climbing,12.6,774.0,162,121,16,53,29,2,0,false,,,
2024-10-18 00:34:22,2024-10-19 01:26:29,UTC-07:00,2024-10-18 18:39:00,2024-10-18 21:34:29,175,Rock Climbing,14.5,1161.0,162,121,16,49,29,4,0,false,,,
2024-10-16 22:42:02,2024-10-18 00:34:22,UTC-07:00,2024-10-17 20:00:00,2024-10-17 21:10:00,70,Weightlifting,7.0,263.0,137,105,51,38,1,0,0,false,,,
2024-10-16 22:42:02,2024-10-18 00:34:22,UTC-07:00,2024-10-17 12:13:30,2024-10-17 12:29:59,16,Walking,4.4,46.0,143,99,45,27,1,0,0,false,,,
2024-10-14 00:05:34,2024-10-15 01:30:09,UTC-07:00,2024-10-14 19:33:00,2024-10-14 20:59:59,86,Rock Climbing,11.7,582.0,158,121,23,34,39,4,0,false,,,
2024-10-14 00:05:34,2024-10-15 01:30:09,UTC-07:00,2024-10-14 15:10:30,2024-10-14 15:47:59,37,Basketball,13.1,457.0,179,150,1,6,23,66,4,false,,,
2024-10-14 00:05:34,2024-10-15 01:30:09,UTC-07:00,2024-10-14 12:58:30,2024-10-14 13:55:29,56,Weightlifting,9.1,380.0,156,121,14,58,26,2,0,false,,,
2024-10-13 01:41:08,2024-10-14 00:05:34,UTC-07:00,2024-10-13 13:42:00,2024-10-13 14:37:29,55,Weightlifting,6.4,211.0,142,106,54,38,1,0,0,false,,,
2024-10-11 01:12:12,2024-10-12 03:11:49,UTC-07:00,2024-10-12 00:33:00,2024-10-12 01:38:59,65,Dance,10.5,500.0,151,126,1,70,29,0,0,false,,,
2024-10-09 00:36:19,2024-10-09 23:27:04,UTC-07:00,2024-10-09 12:25:30,2024-10-09 13:10:29,44,Golf,8.0,303.0,146,121,8,65,27,0,0,false,,,
